"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.715383727E1,5.122718245E1,2.087310746E1,2.225176880E2,2.570000000E2,5.007999802E1,3.000000000E0,4.182660823E0,9.000000000E0,1.000000000E1,2.100000000E1
8.815383556E1,5.122762384E1,2.087311509E1,2.195198346E2,2.540000000E2,4.895000076E1,1.899999976E0,4.230562253E0,9.000000000E0,1.000000000E1,2.100000000E1
8.915383388E1,5.122805463E1,2.087311509E1,2.165219166E2,2.510000000E2,4.778999710E1,3.000000119E-1,4.275137510E0,9.500000000E0,9.000000000E0,2.100000000E1
9.015383222E1,5.122845550E1,2.087311048E1,2.125238461E2,2.470000000E2,4.553999710E1,1.000000000E0,4.321047512E0,9.500000000E0,9.000000000E0,2.100000000E1
9.115383055E1,5.122886826E1,2.087309514E1,2.085258144E2,2.430000000E2,4.506999969E1,0.000000000E0,4.367759363E0,9.500000000E0,9.000000000E0,2.000000000E1
9.215382891E1,5.122928799E1,2.087306715E1,2.055277944E2,2.400000000E2,4.456999969E1,3.597999878E2,4.413510294E0,9.500000000E0,9.000000000E0,2.000000000E1
9.315382723E1,5.122969912E1,2.087304141E1,2.025297368E2,2.370000000E2,4.413999939E1,3.593999939E2,4.456901832E0,1.000000000E1,9.000000000E0,1.900000000E1
9.415382557E1,5.123008925E1,2.087302775E1,1.995315987E2,2.340000000E2,4.325999832E1,3.592000122E2,4.499507006E0,1.050000000E1,1.000000000E1,1.900000000E1
9.515382388E1,5.123047235E1,2.087301669E1,1.975334310E2,2.320000000E2,4.241999817E1,3.597000122E2,4.538564665E0,1.100000000E1,1.000000000E1,1.900000000E1
9.615382222E1,5.123082343E1,2.087303454E1,1.955351588E2,2.300000000E2,4.096999741E1,6.000000238E-1,4.574878932E0,1.150000000E1,1.000000000E1,1.800000000E1
9.715382055E1,5.123114998E1,2.087304074E1,1.945367479E2,2.290000000E2,3.915999985E1,1.500000000E0,4.610585913E0,1.150000000E1,1.000000000E1,1.800000000E1
9.815381887E1,5.123147110E1,2.087303672E1,1.935382929E2,2.280000000E2,3.786000061E1,1.700000048E0,4.644069207E0,1.200000000E1,1.000000000E1,1.800000000E1
9.915381724E1,5.123177222E1,2.087303471E1,1.915397447E2,2.260000000E2,3.627999878E1,1.200000048E0,4.675265962E0,1.250000000E1,1.000000000E1,1.800000000E1
1.001538156E2,5.123205175E1,2.087299649E1,1.925410294E2,2.270000000E2,3.418000031E1,1.899999976E0,4.701143479E0,1.300000000E1,1.000000000E1,1.800000000E1
1.011538139E2,5.123228380E1,2.087302465E1,1.925421999E2,2.270000000E2,3.120999908E1,2.700000048E0,4.724333034E0,1.250000000E1,1.000000000E1,1.900000000E1
1.021538122E2,5.123249214E1,2.087303982E1,1.925432331E2,2.270000000E2,2.803999901E1,4.599999905E0,4.745940648E0,1.250000000E1,1.000000000E1,1.900000000E1
1.031538106E2,5.123268618E1,2.087305650E1,1.935441998E2,2.280000000E2,2.561999893E1,4.199999809E0,4.761158833E0,1.250000000E1,1.000000000E1,1.900000000E1
1.041538090E2,5.123282272E1,2.087307142E1,1.935448857E2,2.280000000E2,2.193999863E1,3.500000000E0,4.777232122E0,1.150000000E1,1.000000000E1,2.000000000E1
1.051538073E2,5.123296655E1,2.087309439E1,1.925456207E2,2.270000000E2,1.971999931E1,2.500000000E0,4.793069119E0,1.150000000E1,1.000000000E1,2.000000000E1
1.061538056E2,5.123310875E1,2.087310721E1,1.915463302E2,2.260000000E2,1.810000038E1,3.799999952E0,4.806620370E0,1.150000000E1,1.000000000E1,1.900000000E1
1.071538041E2,5.123322974E1,2.087313051E1,1.925469554E2,2.270000000E2,1.615999985E1,0.000000000E0,4.820917711E0,1.200000000E1,1.000000000E1,1.900000000E1
1.081538025E2,5.123335832E1,2.087313118E1,1.935475780E2,2.280000000E2,1.568999958E1,3.588999939E2,4.836919364E0,1.250000000E1,9.000000000E0,1.700000000E1
1.091538008E2,5.123350203E1,2.087314325E1,1.935482935E2,2.280000000E2,1.644000053E1,1.399999976E0,4.852544194E0,1.250000000E1,9.000000000E0,2.200000000E1
1.101537991E2,5.123364146E1,2.087317108E1,1.935490157E2,2.280000000E2,1.678999901E1,3.299999952E0,4.869342780E0,1.200000000E1,9.000000000E0,1.900000000E1
